from,to,day_of_week,count
2585770,2585749,Friday,137
2585827,2585837,Friday,137
2585466,2585956,Friday,136
2585802,2585835,Friday,136
2585860,2585863,Friday,136
2585893,2585883,Friday,136
2585937,2585932,Friday,136
2586021,2586032,Friday,136
2585408,2585433,Friday,135
2585466,2585972,Friday,135
2585799,2585800,Friday,135
2585837,2585850,Friday,135
2585283,2585286,Friday,134
2585319,2585351,Friday,134
2585781,2585749,Friday,134
2585306,2681601,Friday,133
2585749,2585770,Friday,133
2585843,163208604,Friday,133
2585932,2585937,Friday,133
2585281,44583483,Friday,132
2585330,2681601,Friday,132
2585476,2585932,Friday,132
2585749,2585762,Friday,132
2585770,2585824,Friday,132
2586001,2586014,Friday,132
2586021,2586034,Friday,132
2681601,2585306,Friday,132
2585708,4393742,Friday,131
2585779,2585802,Friday,131
2585824,2585770,Friday,131
2585837,2585838,Friday,131
2585982,2585843,Friday,131
2681601,2585286,Friday,131
44581598,2585313,Friday,131
2585876,2585883,Friday,130
2585919,2585345,Friday,130
2585273,2585267,Friday,129
2585341,2585369,Friday,129
2585875,2585883,Friday,129
2585928,2585476,Friday,129
2585774,2585837,Friday,128
2585839,2585432,Friday,128
2585856,2585868,Friday,128
2586001,2586005,Friday,128
2586019,2586018,Friday,128
4215025,4393742,Friday,128
2585286,2681601,Friday,127
2585326,2681601,Friday,127
2585776,2585749,Friday,127
2585932,2585452,Friday,127
4393742,2585804,Friday,127
2585837,2585848,Friday,126
2585997,2585466,Friday,126
2586034,2585344,Friday,126
163208604,2585843,Friday,126
2585729,2585938,Friday,125
2585931,2585345,Friday,125
2586001,2586018,Friday,125
2586021,2585978,Friday,125
2681672,2585358,Friday,125
2585452,2585476,Friday,124
2585779,2585728,Friday,124
2585789,2585802,Friday,124
2585799,2585802,Friday,124
2585897,2585913,Friday,124
2586001,4393742,Friday,124
2585345,2585299,Friday,123
2585345,2585919,Friday,123
2585398,2585381,Friday,123
2585313,44581598,Friday,122
2585430,4393742,Friday,122
2585776,2585779,Friday,122
2585838,448565,Friday,122
2585897,2585899,Friday,122
2585712,2585453,Friday,121
2585779,2585776,Friday,121
2585837,2585774,Friday,121
2585837,4585378,Friday,121
2585883,2585893,Friday,121
2585771,2585749,Friday,120
2586034,2586021,Friday,120
4393742,2585699,Friday,120
2585978,2586021,Friday,119
2585288,2681601,Friday,118
2585327,2585289,Friday,118
2585868,2585432,Friday,118
2585936,2585937,Friday,118
2585972,2585466,Friday,118
2586018,2586021,Friday,118
4393742,2585708,Friday,118
2585267,2585446,Friday,117
2585285,2585288,Friday,117
2585345,2585931,Friday,117
2585351,2585319,Friday,117
2585883,2585876,Friday,117
2585926,2585911,Friday,117
2585995,2586000,Friday,117
4393742,2586001,Friday,117
2585452,2585932,Friday,116
2585937,2585936,Friday,116
2585996,2586000,Friday,116
2586009,2586021,Friday,116
2681601,2585288,Friday,116
2585345,2585742,Friday,115
2585432,2585860,Friday,115
2585728,2585802,Friday,115
2585788,2585802,Friday,115
2585838,2585432,Friday,115
2585749,2585776,Friday,114
2585837,448565,Friday,114
2585906,2585899,Friday,114
2585906,2585913,Friday,114
2585942,2585953,Friday,114
2586018,2586001,Friday,114
2586021,2586018,Friday,114
2586021,2586024,Friday,114
2586024,2586021,Friday,114
2585466,2585958,Friday,113
2585728,2585779,Friday,113
2585779,2585791,Friday,113
2585835,2585802,Friday,113
2585932,2585476,Friday,113
2585728,2585724,Friday,112
2585956,2585929,Friday,112
2585958,2585466,Friday,112
2585994,2586000,Friday,112
2586000,2585995,Friday,112
2681601,2585356,Friday,112
2585271,2585263,Friday,111
2585305,2585285,Friday,111
2585433,2585408,Friday,111
2585839,2585838,Friday,111
2585941,2585894,Friday,111
2586014,2586018,Friday,111
2586024,2586018,Friday,111
2681601,2585335,Friday,111
2585391,2585381,Friday,110
2585398,2585457,Friday,110
2585922,2585911,Friday,110
2585956,2585958,Friday,110
2585963,2585956,Friday,110
2586032,2586021,Friday,110
2585345,44581598,Friday,109
2585405,2681601,Friday,109
2585432,2585835,Friday,109
2585476,2585928,Friday,109
2585897,2585875,Friday,109
2585953,2585942,Friday,109
2585958,2585956,Friday,109
2585367,2681601,Friday,108
2585724,2585728,Friday,108
2585894,2585941,Friday,108
2585939,2585937,Friday,108
2585996,2585466,Friday,108
2585281,2585263,Friday,107
2585311,2585326,Friday,107
2585824,2585771,Friday,107
2585853,2585280,Friday,107
2585992,2586028,Friday,107
2585994,2585996,Friday,107
448565,2585837,Friday,106
2585344,2586034,Friday,106
2585466,2585975,Friday,106
2585466,2585990,Friday,106
2585785,2585794,Friday,106
2585850,2585837,Friday,106
2586037,2586045,Friday,106
2585273,2585873,Friday,105
2585291,2585286,Friday,105
2585722,2585728,Friday,105
2585843,2585982,Friday,105
2585911,2585920,Friday,105
2585924,2585911,Friday,105
2585956,2585963,Friday,105
4393742,2585430,Friday,105
2585286,2585288,Friday,104
2585398,2585453,Friday,104
2585699,4393742,Friday,104
2585787,2585837,Friday,104
2585811,2585860,Friday,104
2585835,2585432,Friday,104
2585897,2585868,Friday,104
2585911,2585926,Friday,104
2585992,2585825,Friday,104
2586000,2585994,Friday,104
2585267,2585259,Friday,103
2585800,2585789,Friday,103
2585804,4393742,Friday,103
2585863,2585860,Friday,103
2586018,4393742,Friday,103
2586044,2585978,Friday,103
2585281,2585873,Friday,102
2585772,2585782,Friday,102
2585848,2585837,Friday,102
2585875,2585897,Friday,102
2586005,2586001,Friday,102
2586026,2586021,Friday,102
2586045,2586037,Friday,102
4393742,2585747,Friday,102
